	article_title
596	Scientific Community Baffled By Man Whose Waist 32 With Some Pants, 33 With Others
597	Modernized Space Camp Allows Kids To Simulate Frustration Over Lack Of Funding
598	Man Terrified To Realize He Could Easily Go On Like This
599	VA To Improve Veterans’ Health Care With New $500 Million Waiting Room
600	Taco Bell Warns Employees Against Directly Exposing Skin To Food
601	Congress Reluctant To Cut Funding For Tank That Just Spins Around And Self-Destructs
602	Resigned Labor Department To Give Every Unemployed American Self-Serve Yogurt Shop
603	Something Apparently Going On With Mom And Her Best Friend
604	Study: Most High School Graduates Woefully Unprepared For High School
605	Paleontologists Unearth Earliest Known Dinosaur Stickers
606	Pharmaceutical Industry Reeling As More Moms Making Vaccines At Home
607	Report: Growing Number Of Americans Forced To Make Ends Meet By Collaborating On Song With Pitbull
608	Military-Level Operation Being Planned To Get Grandma Through Graduation
609	U.N. Report On Magical Realism Warns Of Increased Incidences Of Women’s Tears Flooding The Entire World
610	Nation’s Limo Drivers Spend Magical Prom Night Playing Scratch-Off Tickets In Parking Lot
611	Brutally Honest New Revlon Ad Campaign Reminds Customers You Can’t Change What You Are
612	Puberty Absolutely Teeing Off On Area Teen
613	James Cameron Says Future Of Movies Will Be Watching Them Sitting On His Lap
614	Woman A Leading Authority On What Shouldn’t Be In Poor People’s Grocery Carts
615	New Census Report Reveals U.S. Has Over 316 Million Nobodies
616	Takeout Bag Feels Light
617	Feds Bust Massive Child Pornography Corporation
618	Top Theoretical Physicists, R&B Singers Meet To Debate Meaning Of Forever
619	Disney CEO Figures They’ve Built Up Enough Goodwill To Do A Real Sexist One
620	Activists Release Horrifying Video Showing How Meat Products Are Eaten
621	Employee’s Meteoric Rise Through Company A Testament To Staff Turnover
622	Newly Discovered Cave Paintings Suggest Early Man Was Battling A Lot Of Inner Demons
623	Roman Centurion Crawling Out Of New York City Manhole In For One Wacky Adventure
624	Community Theater Gives Part Of Blanche DuBois To Kathy Fucking Hamilton
625	FBI Uncovers Al-Qaeda Plot To Just Sit Back And Enjoy Collapse Of United States
626	Progressive Zoo Houses Animals In Natural Destroyed Habitat
627	Biologists Confirm God Evolved From Chimpanzee Deity
628	U.S. Surgeon General Recommends Patching Things Up With Father-In-Law
629	U.S. Currency Finally Achieves Universal Suffrage
630	‘Forbes’ Releases 2014 List Of Most Punchable CEOs
631	FedEx Confirms More Than 600,000 People Try To Mail Themselves Each Year
632	Increasing Number Of Men Pressured To Accept Realistic Standards Of Female Beauty
633	EPA Announces New Initiative To Conserve Whatever’s Left
634	Recovering Alcoholic Doesn’t Need Friends To Have A Good Time
635	American Obesity Epidemic Traced To Single Heavyset ‘Mayflower’ Passenger
636	White House Sends Obama To 3-Day Management Seminar At Washington Marriott
637	Nation Rallies Behind Embattled Celebrity Gown
638	College Senior Already Has Grueling 14-Month Employment Search Lined Up After Graduation
639	Study: Humans Display Highest Cognitive Abilities When Trying To Retrieve Object Dropped Between Car Seats
640	Fred Phelps, Man Who Forever Stopped March Of Gay Rights, Dead At 84
641	Mischievous Koch Brothers Trick Beautiful Woman Into Thinking There’s Only One Of Them
642	Intrepid Middle-Class Parents Embark On Daring Search For Mythical Perfect School District
643	Sexually Frustrated Woman Just One Of The Guys
644	Nation Demands More Mind-Blowing Guitar Solos
645	Malaysia Airlines Expands Investigation To Include General Scope Of Space, Time
646	Obama Spends Afternoon In Garage Restoring Classic Drone
647	Report: No One Will Ever Stack Up To Your Eighth-Grade Boyfriend
648	Company President Started Out As Fertilized Embryo
649	National Endowment For The Arts Provides $80 Million To Discourage Talentless Hacks
650	BREAKING: Imperial Inspector To Arrive By Railcar This Very Afternoon
651	Report: Burying, Cremating Baby Boomers To Generate $200 Trillion In GDP
652	Report: Mom’s Got Her Thing Tonight
653	Ukrainian-Russian Tensions Dividing U.S. Citizens Along Ignorant, Apathetic Lines
654	Francis Ford Coppola Reveals Every ‘Godfather’ Film Took Place In Same Narrative World
655	Modern Science Still Only Able To Predict One Upcoming Tetris Block
656	Close-Minded Man Not Even Willing To Hear Out Argument On Why Homosexuality An Abomination
657	Fourth-Grader Named Jackson To Someday Fire You
658	German Leaders Quietly Confident They Could Pull Off Another Holocaust If They Ever Really Wanted
659	So-Called Christian Has Erection
660	Child Protective Services Hopes Caseworker Ready For A Doozy
661	9/11 Truther Vows Not To Rest Until Everyone Knows He An Asshole
662	Delighted Health Insurance Executives Gather In Outdoor Coliseum To Watch Patient Battle Cancer
663	Manic Researchers Announce They Are Hours Away From Cure For Depression
664	Nation’s Girlfriends Admit Absolutely Everything Riding On Valentine’s Day
665	Father Marvels At How Quickly Kids Growing Distant
666	Nitro Expected To Win Westminster Dog Fight
667	Humanity Forced To Put Down Aging God
668	Lapsed Cult Member Only Attends Sanctum On Major Bloodletting Holidays
669	Renovations Force Yosemite National Park To Temporarily Relocate To Sacramento Office Space
670	Couple Never Dreamed They Would Be Able To Talk So Openly, Honestly About Cabinets
671	Report: Girlfriend’s Parents Could Hear Everything
672	Distant Planet Terrified It Might Be Able To Someday Support Human Life
673	57 Women Stoned To Death During Annual Riyadh Fashion Week
674	Report: Today The Day They Find Out You’re A Fraud
675	Teacher Surprised The 2 Weird Kids Haven’t Hit It Off Yet
676	Gay Couple Weirded Out By Pope Francis Standing In Back Of Wedding Ceremony
677	Horrified Man Suddenly Realizes He’s Putting Down Roots In Charlotte
678	Obama Admits U.S. Hasn’t Been The Same Since Buddy Holly Died
679	Report: Everyone You’ve Ever Had A Crush On Secretly Had A Crush On You, They Still Do, And They’re Waiting For You
680	Surgeon General Advises Being 19 Years Old With 100 Bucks In Your Pocket And Your Whole Life In Front Of You
681	More Hollywood Celebrities Reproducing By Asexual Budding
682	Interns Treated To Informative 30-Minute Q&A Session With Totally Miserable Employees
683	Nation Back On Board With SeaWorld Following Awesome Orca Trick
684	Woman Takes Short Half-Hour Break From Being Feminist To Enjoy TV Show
685	Thousands Of Athletes Who Will Disgrace Countries Eagerly Training For Winter Olympics
686	Genius Magazine Editor Does It Again With Marilyn Monroe–Inspired Photoshoot
687	Japan Grants Suffrage To Female Robots
688	Report: ‘Swamp Thing’ And ‘The Return Of Swamp Thing’ Just 2 Of Literally Thousands Of Movies
689	God Admits He Rarely Forgives
690	Nation Recalls Simpler Time When Health Care System Was Broken Beyond Repair
691	Obama Not Ruling Out U.S. Military Action In Congress
692	Vacationing Man Excited To Try Fast Food Franchise Not Found In Hometown
693	Adopted Child Sick Of Gay Parents Forcing Him To Watch Them Have Sex
694	Mannequin Must Think He’s Some Pretty Hot Shit
695	Classmates Admit School Shooter Showed Them, Showed Them All
696	Girlfriend Overdoses On Lotion
697	Big, Sloppy Chicken Parm Hovers Alluringly Above Nation
698	Study Finds 90% Of Adopted Children’s Biological Parents Own Mansions
699	New Report Confirms You Are Most Interesting, Most Important Individual On Earth
700	Cousins Meaner This Year
701	Worldwide Jewish Conspiracy Worried It Came Down Too Hard On Jeff Yesterday
702	Encouraging Economic Report Reveals More Americans Delusional Enough To Start Their Own Business
703	Alarming New Adult Trend ‘Plateauing In Your Career And Relationship’ Sweeps Nation
704	New Attractive Person Comes To Nation’s Attention
705	Grisly Remains Of 15 Hobbits Discovered In Peter Jackson’s Attic
706	Biologist Completes 5-Minute Study Of Pathetic Organism In Mirror
707	Deformed Freak Born Without Penis
708	Stunned St. Peter’s Square Crowd Overhears Pope Francis Getting Bitched Out By God
709	Monaco Teen Doesn’t Want To Fall Into Townie Life Of Being Billionaire Race-Car-Driving Playboy
710	Total Nerd Actually Owns His Own Computer
711	Archaeologists Discover Site Where Desperate Jesus Christ Turned Tricks
712	Nation Has To Sell Lake House
713	‘The Onion’ Vows To Carry On Iran’s Nuclear Weapons Program Until The Job Is Done
714	Factory-Farm-To-Table Restaurant Proudly Serves Locally Tortured Animals
715	Hundreds Killed In Brutal Pro-Something–Anti-Something Clash
716	New Report Finds Climate Change Caused By 7 Billion Key Individuals
717	Area Man Can Remember Exactly Where He Was, What He Was Doing When He Assassinated John F. Kennedy
718	Inventor Of Gromdar Determined To Put A Gromdar In Every American Home
719	Buddhist Extremist Cell Vows To Unleash Tranquility On West
720	Terrified Obama Trapped Inside Healthcare.gov Website
721	Cancer Researchers: ‘Don’t Get Cancer’
722	Cowardly Refugee Running Away From Problems
723	Breaking: Intruders Detected In Zone 17
724	Obama Has That Sex Dream About Nation Again
725	Man Smoking E-Cigarette Must Be Futuristic Bounty Hunter
726	Mariana Trench Once Again Named Worst Place To Raise Child
727	Woman Always Dreamed Of Opening Her Own Sparsely Attended Dance Studio
728	Giant Burrito To Solve All Of Area Man’s Problems For 6 Precious Minutes
729	Newly Naturalized Citizens Taken Around U.S. For Orientation
730	David Copperfield Once Again Tops The Onion’s Annual List Of World’s Most Powerful People
731	Hillary Clinton Quietly Asks Bill If He Still Finds Her Electable
732	DHS Warns U.S. In Danger Of Another Eagles Reunion Album
733	BREAKING: Authorities Currently Racing Down Highway To Arrest You For Crime You Didn’t Commit
734	Kidnapped Teen Freed, Though Freedom Is Its Own Kind Of Prison, Is It Not?
735	Financially Ruined Executive Still Piecing Life Back Together 2 Years After Occupy Movement
736	Suburban Mom Wows Family With Most Androgynous Look Yet
737	27-Year-Old Lies About Every Single Aspect Of His Life To Keep Parents From Worrying
738	Nation’s Pedophiles March On Washington, D.C. Elementary School
739	Man Still Trying To Find Right Work-Anxiety–Life-Anxiety Balance
740	NASA: ‘We Will Have A Mass Shooting On The Moon By 2055’
741	Scientists Teach Sign Language To Gorilla-Suit-Wearing Man
742	Report: ChicagoTheBand.com Most Visited Site On The Internet
743	Anne Hathaway Tormented By 14-Year-Old Bully
744	God Reveals He Occasionally Eats Humans
745	Nude Biden Wakes Up On Cold Slab In D.C. Morgue
746	Obama Announces Start Of Annual D.C. Spooktacular
747	Muslim Man Figured Trip To Mecca Would Be A Lot More Life-Changing
748	Bruce Willis Seriously Considering Doing More Films
749	Serial Killer Thinking Of Interesting Ways To Incorporate Social Media
750	College Freshman Thinking It Might Be Time To Break Up With His High School Teacher
751	Internet Rocked By Blogger With Sarcastic Sensibility
752	Intern Strikes Up Friendship With Least-Respected Employee
753	Fucking Pathetic John Ashbery Actually Thinks He Has Shot At Nobel Prize In Literature This Year
754	Michelle Obama Opens Up In ‘Marie Claire’: ‘Our Sex Life Has Never Been More Open, More Experimental, More Generous’
755	Military Unveils Bionic Super-Soldiers Capable Of Withstanding Mental Toll Of War
756	High-Powered Washington Fixer Tells Blood-Soaked Obama To Listen Carefully
757	Tea Party Leaders Announce Support For Deal In Exchange For Malia Obama
758	David Bowie Asks Iman If They Should Just Do Lasagna Again
759	U.S. Treasury Announces Bonus Financial Quarter Worth Double The Cash
760	1998 University Of Virginia Graduates Still Taking Inspiration From Governor Jim Gilmore’s Commencement Speech
761	Greatest Country In World Unable To Keep William H. Gross Stamp Gallery Open
762	U.S. On Verge Of Full-Scale Government Hoedown
763	Scientists Recommend Having Earth Put Down
764	Bullied Eighth-Grader Incorrectly Thought Classmates Would Leave Him Alone During Field Trip To 9/11 Memorial
765	Man Who Understands 8% Of Obamacare Vigorously Defends It From Man Who Understands 5%
766	District Attorney Worked Way Up From Police Dog
767	President Cruz Fondly Recalls 21-Hour Speech That Started It All
768	Facebook Version Of Marriage Going Great
769	World’s Insect Leaders Attend G20,000,000,000 Summit
770	GM To Pour All Resources Into Single Car That Can Be Safely Driven Down Street And Back
771	Lonely Nation Gathers Outside Window Of Happy Family Eating Dinner Together
772	Hell Now A Thriving Epicenter Of Gay Culture
773	Area Man’s Intelligence Probably Just Too Intimidating For Most Women
774	Obama Meets With Nation’s Schizophrenic Voices To Urge Less Violence
775	Grandmother Shown Around Retirement Home Where She Will Die
776	Desperate Nation Tries Getting On Board With Mass Shootings
777	Teen Wastes Prime Childbearing Years Going To High School
778	Depraved Masochist Enjoys Following The News
779	Christ Reluctantly Enters Area Man’s Heart
780	Couple Thoughtfully Puts Up Wedding Website For Friends To Mock
781	Billboard Alerts Drivers To Existence Of Situational Comedy Starring Stand-Up Comedian Jerry Seinfeld
782	Apple Unveils Panicked Man With No Ideas
783	Family’s Horrific 45-Minute Screaming Match Ends In Consensus To Go To Macaroni Grill
784	Poll: Majority Of Americans Approve Of Sending Congress To Syria
785	Nation’s Female Joggers Know They Will One Day Be Assaulted, Buried In Woods
786	New Skin Cream To Do Something
787	Assad Unable To Convince Putin That He Used Chemical Weapons On Syrians
788	Obama Assures Americans This Will Not Be Another 1456 Ottoman Siege Of Belgrade
789	Bricks Goddamned Everywhere, Reports Psychotic Study
790	Completely Unnatural Mixed-Race Couple Actually Kind Of Beautiful In A Way
791	Report: Millions Of Courageous Americans Overcoming Media Pressure To Be Thin
792	Syria Conflict Intensifies As Bears Enter War
793	Nation’s Single Men Announce Plan To Change Bedsheets By 2019
794	Employee Offering Suggestion At Meeting Slowly Grows Quieter And Quieter Until Eventually Squeaking ‘I Don’t Know’
795	Chuck Klosterman Corners Guy At Party Wearing Dio Shirt
796	Study: People Far Away From You Not Actually Smaller
797	Awkward New International Student Saw His Entire Family Murdered In The Congo
798	Man Working Up Courage To Ask Coworker To Office Dance
799	BREAKING: Middle East Conflict Not Solved Today
800	Seemingly Mentally Ill Internet Commenter Presumably Functions In Outside World
801	Psychiatrist Patiently Listens To Obama Complain About Every Single American
802	Six Flags Employee Sick Of Talking Visitors Down From Bad Acid Trips
803	Area Teen Quickly Running Out Of Chances To Be First Openly Gay Anything
804	David McCullough Wondering How Much Scratch He Could Shake Out Of Frederick Douglass
805	Group Of Friends Engage In Passionate, Incoherent Discussion About Current Events
806	Russian Man Recalls Oppressive Days Under Communism When No One Could Speak Freely Or Protest Government
807	Father Teaches Son How To Fly Into Rage Over Completely Inconsequential Bullshit
808	‘The Onion’ Encourages Israel And Palestine Not To Give A Single, Goddamn Inch
809	Report: Some Shirts Good, Other Shirts Not Good
810	Woman At Supermarket Imagines Entire Narrative Where Bagger Is Happy With Life
811	Insecure, Frustrated Bully With Something To Prove Considering Career In Law Enforcement
812	New Poll Finds Majority of Americans Thought We’d Live Inside Computers By Now
813	Shia LaBeouf Shimmies Out Of Third-Floor Window At School For Wayward Boys
814	Obama Not Sure How To Tell Nation This, But He Ran Over Jimmy Carter With Car Last Night
815	Masochist Dog Enjoys Being Walked Around On Leash While Naked
816	Bob Woodward Gets New Job
817	‘The Onion’ Salutes Our Friend Mahmoud Ahmadinejad On A Job Well Done
818	Iowa State Fair Guards Told To Shoot Non–Iowa Residents On Sight
819	Job Growth Remains Sluggish, Or Rather, Akin To A Slug
820	Edward Snowden’s Life Just Flat-Out Fun And Exciting
821	Asshole Awarded For Asshole Behavior By Business Community Leaders
822	Fans Of Green Screens, Incredibly Fake-Looking Things Express Love For Modern Cinema
823	Dick Van Dyke Finally Confesses To Zodiac Killings
824	Fucking Loser At Movie All By Himself
825	Pit Of Komodo Dragons Shocked To Discover Billionaire Who Owns Them Is Just 26
826	Congress Fiercely Divided Over Completely Blank Bill That Says And Does Nothing
827	Biden Has Guy Named Worm Sit In For Him At Cabinet Meeting
828	Meteorologists Report Sky Just A Little Bluer Today, And It’s Because Minneapolis Resident Doug Bramowski’s In Love
829	Print Dead At 1,803
830	Frustrated Novelist No Good At Describing Hands
831	Unambitious Loser With Happy, Fulfilling Life Still Lives In Hometown
832	Wildman Currently Raging Across Southern California
833	Not-That-Important Employee Snatches Best Donut In Box
834	Tiny Advisor Who Lived In Obama’s Ear Dead At 83
835	Fox Books Files For Bankruptcy
836	MIT Scientists Create Robot Capable Of Feeling Lust
837	Infant Child Left In Sweet Camaro
838	Rock Apparently Factors Into Girlfriend’s Shower Routine
839	Nation Throws Hands Up, Tells Black Teenagers To Do Their Best Out There
840	Zimmerman Found Not Guilty, Technically, But C’mon
841	Insurance Company Gets Fucked Over By Another Cancer Patient
842	George Zimmerman Offers To Just Plead Guilty And Pay Fine Or Whatever
843	‘The Onion’ Offers A Swift, Painless Death To Edward Snowden
844	Zoo Visitors Watch Mating Rituals Of Ice Cream Shop Staff
845	Kids Tired Of Hearing Boring Stories About How Father A Skilled, Generous Lover
846	Fossilized Evidence Reveals Spazosaurus Was Largest Doofus To Ever Roam Earth
847	New Michael Bay Romantic Comedy To Focus On Love Story Between 2 Explosions
848	Eminem Terrified As Daughter Begins Dating Man Raised On His Music
849	God Proud Of Cockroaches
850	Grandiose Delusion Of Own Self-Importance Only Thing Keeping CEO Alive, Doctors Say
851	Nation Celebrates What Is, Technically Speaking, Progress
852	The Onion Will Be Euthanizing People For Free This Sunday
853	Study: 80% Of Waking Hours Spent Plotting Revenge
854	McDonald's Considering Franchising Restaurants After 70 Years Of Being Family Owned And Operated
855	Fully Leveled-Up Video Game Character Marvels At How Far He's Come
856	U.S. Citizenry Admits It Could Kind Of Go For Charismatic Authoritarian Dictator
857	Financial Sector Thinks It’s About Ready To Ruin World Again
858	Loose-Knit Community Not Particularly Shattered By Teen’s Death
859	If Cast And Crew Of Local Production Of ‘The Music Man’ Being Honest, ‘Marian The Librarian’ Number Needs Work
860	Advanced Alien Civilization Discovers Uninhabitable Planet
861	Report: Many Iraqis Still Holding Petty Grudge About U.S. Invasion
862	Terrorist Living In U.S. Gets Why NSA Spying Such A Complicated Issue
863	GOP: ‘We Support Our Nation’s 11 Million Latino Criminals’
864	New Study Finds It Is Impossible To Lose Weight, No One Has Ever Done It, And Those Who Are Trying Should Give Up
865	Poor Bastard Who Just Wanted To See 'After Earth' Really Taking Shit From Theater Employee
866	Study: 83% Of Gamblers Quit Right Before They Would Have Hit The Big One
867	Obama Takes Excited Daughters Out For Day Of Drone-Watching
868	Dollar Tree CEO Officially Unveils Long-Rumored Foil Baking Pan
869	SPONSORED: Red Lobster: Taking Up The Vanguard In The Fight Against Women In The Workplace
870	Man On Cusp Of Having Fun Suddenly Remembers Every Single One Of His Responsibilities
871	After Careful Deliberation, Baby Goes With Homosexuality
872	Michele Bachmann: ‘God Wants Me To Earn 7 Figures For A Lobbying Firm’
873	BuzzFeed Writer Resigns In Disgrace After Plagiarizing ‘10 Llamas Who Wish They Were Models’
874	Family Concerned After John McCain Wanders Into Syria
875	U.S. Disc Jockey General Urges Americans To Get The Led Out
876	Area Man Beginning To Think He Has Memorial Day Off
877	Restaurant's Extreme Burger Challenge Moved Down To Regular Menu
878	Obama Fed Grapes While Urging Press Conference To Enjoy Orgy
879	Woman Who Cracked 3 Separate iPhone Screens Expecting Baby Boy This August
880	‘Our Thoughts Go Out To Oklahoma,’ Says Congressman Mentally Calculating When He Can Bring Up Benghazi Again
881	24-Year-Old Receives Sage Counsel From Venerable 27-Year-Old
882	Americans Dredge Up Last Remaining Reserves Of Grief
883	Weird Guy From 2 Jobs Ago Still Liking Woman’s Photos On Facebook
884	Obama Fondly Recalls Frustration Of First Term
885	Nation Supposes It's Outraged By White House Scandals
886	The Onion Urges Barack Obama To Come Clean About The Basilisk Project
887	Report: World's Lone Non-Telepathic Individual Still Completely Unaware
888	25-Year-Old Woman's Biggest Dream Still Being Popular High School Student
889	This Has To Be Year Local Miniature Golf Course Finally Goes Out Of Business
890	Animal Facing Extinction In 2003 Fucks Its Way Back
891	Study Finds College Education Leaves Majority Of Graduates Unprepared To Carry Entire American Economic Recovery
892	FAA Report: Spirit Airlines Is The Fucking Worst
893	Obama Speechwriters Unsure How They’d Praise Fort Lauderdale In Event Of Tragedy
894	Woody Allen Extremely Busy Updating WoodyAllen.com
895	Snooze Button Time Traveler Sets Coordinates For 5 Minutes Into The Future
896	Nation's Amateur Skateboarders Haven't Landed Trick In 12 Years
897	Family Watching Movie White-Knuckles It Through Unexpected Sex Scene
898	Rescue Chip Sent In To Save Broken Tostito Submerged In 7-Layer Dip
899	Obama Explains How They Get All Those Cars On The Back Of One Of Those Trucks
900	Teen Pregnancy Rate Prompting More High Schools To Eliminate ‘Fuck Your Brains Out’ Program
901	Proud Boston Market CEO Announces Food Hasn't Been This Gross In Years
902	Dick Cheney Vice Presidential Library Opens In Pitch-Dark, Sulfurous Underground Cave
903	SPONSORED: Today’s Ku Klux Klan: Back On Top And Ready For The Future
904	Secretary Of Interior Takes Presidential Oath Of Office
905	10-Year-Old Wishes Unemployed Father Couldn’t Make It To Just One Of His Little League Games
906	Obama Orders Reinvasion Of Iraq After Illuminating Trip Through Bush Presidential Library
907	Report: Come On, Carl, Pull It Together
908	Islamic Extremist Gives Up On Radicalizing Dim-Witted Friend
909	Romney Drops By To See How Down-And-Out Family He Met On Campaign Trail Doing
910	Dzhokar Tsarnaev Posts Bail
911	Study: Wolf Attacks Still Leading Cause Of Death In U.S.
912	Nation Starting To Realize New Era Of American Innovation Never Gonna Happen
913	BREAKING: How’s Everyone Doing?
914	Jesus, This Week
915	Internet Comes Up With 8.5 Million Leads On Potential Boston Bombing Suspect
916	Boss Has Deft Touch For Making Employees Feel Like Shit
917	Authorities: Sadly, There Are Many People Who Could Have Done This
918	This What World Like Now
919	New Jackie Robinson Movie Probably Has Scene Where People Yell Things And He’s Upset And Wants To Fight Back But Doesn’t
920	Most Depressing Job Interview You’ll Ever See Currently Taking Place At Starbucks Table
921	Leading Social Media Site HarvardConnection Now Valued At $400 Billion
922	Future Christian Drinking And Doing Drugs And Thinking It's One Big Joke
923	Fast-Talking Computer Hacker Just Has To Break Through Encryption Shield Before Uploading Nano-Virus
924	China Announces Plans To Build International Space Prison
925	Thousands Of Eggs Pushed Out Of Nests After Birds Legalize Abortion
926	Roger Ebert Hails Human Existence As 'A Triumph'
927	Disney Finds Dozens Of Unauthorized Characters Appearing Illegally Inside Theme Park
928	Coarse Sponge Excited To Join The Smith Family Dishwashing Team
929	History Licking Its Chops To Judge George W. Bush
930	President Personally Performs First Obamacare Euthanization
931	South Carolina Defends Right To Fly Hardee's Flag From State Capitol
932	Fallen Firefighter Remembered As Idiot Who Sucked At His Job
933	The Onion Once Again Condemns Actor Eric Bana For His Continued Silence On The Issue Of Gay Marriage
934	Robert Mapplethorpe Children's Museum Celebrates Grand Opening
935	Supreme Court On Gay Marriage: 'Sure, Who Cares'
936	Supreme Court's Sidekick Kid Justice Killed By Mad Genius Dr. Contempto
937	Palestinians, Israelis Come Together To Mock Obama's Hopelessly Naive Speech
938	Epic Saga Of Employee's Ineptitude Passed Down Through Generations Of Coworkers
939	Amputee Inspires Others Not To Lose Limbs
940	Thousands Of Elderly Japanese-Americans Rounded Up For Internment Camp’s 70th Reunion
941	'What You're Doing Is Weird And Wrong,' Small Voice In Back Of Kim Jong-Un's Head Reports
942	Pfizer Kingpin Gunned Down In Ongoing Prescription Drug Cartel Turf War
943	Attorney Friends Catch Up While Briskly Walking Down Courthouse Steps
944	Pope Insanity MXLV Selected
945	Singing Dancing Boy Upset
946	Iowa Fashion Week Begins
947	God Worried He Fucked Up His Children
948	TSA To Allow Small Terrorists On Planes
949	New Social Media Startup Launches, Shuts Down Within 45 Minutes
950	Pretty Cute Watching Boston Residents Play Daily Game Of ‘Big City’
951	231 CIA Agents Killed In Overt Ops Mission
952	Obnoxious Friend Won't Stop Attaining Major Life Milestones
953	Child Who Just Lost Balloon Begins Lifelong Battle With Depression
954	Pope Benedict Stops By Prayer Writers' Room To Say Goodbye
955	Community Mourns Death Of Beloved Drunk Driver
956	Arianna Huffington Unveils New 'Huffington Man' Aggregated From 84 Different Humans
957	Report: Chinese Third-Graders Falling Behind U.S. High School Students in Math, Science
958	Obama, Congress Must Reach Deal On Budget By March 1, And Then April 1, And Then April 20, And Then April 28, And Then May 1
959	Retiring Pope Vows To Continue Drawing 'Papalpuss' Comic Strip
960	U.K. Cardinal Resigns In Wake Of—Get This—Sex Abuse Allegations
961	240 Killed In Stampede After Bucketful Of Oscars Just Dumped On Stage
962	Pistorius Case Takes Dramatic Turn As Altered Plane Of Reality Results In Paralympian Shooting John Lennon
963	Saddam Hussein Complaining To Other Angels About All The Jews In Heaven
964	Supervisor Encourages Interns To Take On More Responsibilities Of 3 Full-Time Staff Members
965	Woman Rushed Into Cosmetic Surgery With 8 Glaring Flaws
966	Kate Middleton Shows Off Baby Bump
967	More Than 1,000 Russians Injured In Freaking Coolest Event Ever
968	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo
969	Report: World Now Down To 5 Stories That Are Inspirational
970	Weary Americans Land Ship On Bright, Promising Shores Of China
971	Unpopular Kid Having Trouble Fitting In At Home
972	Completely Self-Absorbed Obama Gets Up And Just Talks For An Hour Straight
973	World Surrenders To North Korea
974	Resigning Pope No Longer Has Strength To Lead Church Backward
975	Congressional High Priest Concocts Farm Subsidy Bill In Legislative Cauldron
976	It Wouldn't Surprise You If This Headline Was About 318 People Being Shot In 12 Different Public Places
977	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals
978	Boy Scouts To Try Out Single Gay 12-Year-Old Before Making Decision
979	Doomed Rabbit To Teach 8-Year-Old About Responsibility
980	Torrent Of Soap Issues From Wildly Unexpected Part Of Dispenser
981	Company Posts Job Listing As If Position Not Already Filled By Existing Employee's Friend
982	The Onion Freely And Happily Gives Its Employees' Passwords To China
983	God Freaks Self Out By Lying Awake Contemplating Own Immortality
984	North Korea Celebrates As Kim Jong-Un Becomes First Man To Walk On Moon
985	AR-15 Assault Rifle Beginning To Worry It May Never Get To Kill Innocent Person
986	Bo Obama Receives Visiting Dognitaries From Furuguay
987	Teenage Girl Blossoming Into Beautiful Object
988	Despite Lessons Of Cautionary Film 'Multiplicity,' Geneticists Determined To Clone Michael Keaton
989	Executive Creative Too
990	The Onion Demands John Kerry Tell The Truth About His Swift Boat Service
991	Biden Scores 800 Feet Of Copper Wire
992	Copy Of 'The Scarlet Letter' Can't Believe The Notes High Schooler Writing In Margins
993	62-Year-Old With Gun Only One Standing Between Nation And Full-Scale Government Takeover
994	Uh-Oh, Photo Of Crying Woman On Cover Of National Newspaper
995	Man Who Got Shit Together 5 Years Ago Still Viewed As Lovable Fuckup By Friends, Family
996	Internet Users Demand Less Interactivity
997	SPONSORED: The Taliban Is A Vibrant And Thriving Political Movement
998	I-95 Diagnosed With Highway Cancer
999	Gorilla Sales Skyrocket After Latest Gorilla Attack
1000	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack
1001	AIG Nearly Blows All The Goodwill Built Up By Wall Street In Recent Years
1002	Frustrated Wayne LaPierre Thought Murder Of 20 Children By Crazed Gunman Would Have Blown Over By Now
1003	Neighborhood Flocks To Coffee Shop Bulletin Board To Read About Fun Upcoming Events
1004	Everyone At Office Planning Shooting Spree For Same Day
1005	Foster Mom Doesn't Pick Least Favorites
1006	The Onion's Person Of The Year Is…
1007	Fuck Everything, Nation Reports
1008	'The Hobbit' To Feature 53-Minute-Long Scene Of Bilbo Baggins Trying To Figure Out What To Pack
1009	Man Who Will Die In Great Eastern Seaboard Flood Of 2023 Preparing For Mayan Apocalypse
1010	Kim Jong-Un's Wife Escapes North Korea In Long-Range Missile
1011	Study Finds Millennial Generation Stays On Phone With Parents Throughout Entire Day
1012	Guys With Boring Jobs Really Hitting It Off A Few Rows Back On Airplane
1013	Toddler Leaders Call For Increased Duck Visibility
1014	The Onion's Plan For Solving The Fiscal Cliff Crisis
1015	Obama Paranoid Government Coming For His Guns
1016	Department Of Transportation Announces New Highway Concert Series
1017	15-Year-Old Duchess Of McComb, AL Announces Pregnancy
1018	Geese All Flying To Andy García's House For Winter
1019	U.N. Agency Says 2012 Celebrities Hottest On Record
1020	Powerball Winners Already Divorced, Bankrupt
1021	Fuck It, Man On Death Row Just Going To Read Entire Harry Potter Series
1022	'I Am A Brand,' Pathetic Man Says
1023	Latvian Diplomat Tells Amusing Human Development Index Anecdote On 'U.N. Tonight! With Ban Ki-Moon'
1024	Filthy Mitt Romney Delivers Campaign Speech To Audience Of Confused Shoppers In Ohio Safeway
1025	New Season Of 'Downton Abbey' Jumps Forward To Year 2121
